title,label
sanders back in us senate blasts colonialism in puerto rico,1
kremlin syria peoples congress being actively discussed,1
oregon cop convicted of shattering bikers collarbone with kick forgot dashcam was on,0
twitter erupts with glee over cruzsexscandal rumors,0
must watch video obama tries to trash trump but turns into a babbling mess,0
al cops kill suicidal woman after her parents call for help,0
us judge to mull release of trump video testimony,1
chinese state media calls trump out after he gives one china policy the middle finger,0
texas moving to ban jews muslims and gays from adopting,0
house dem drops shocking bombshell on national television about trumps future,0
jeff sessions orders review of gun background check system,1
trump cant decide which lie to stick to regarding his claim that obama founded isis,0
chinas xi tells britains may north korea issue should be peacefully resolved,1
trump stooge betsy devos gets her a handed to her by joe biden for being soft on college campus sexual assault,0
breaking reporter says secret service took debate attendees phones to avoid flash that could trigger hillarys seizures,0
baier indictment likely in fbi investigation of clinton foundation,1
republican candidate kasichs kitchen comment draws scorn,1
trump to meet scandalhit malaysian leader in september,1
trop essouffl aprs avoir cherch ses affaires de sports dans toute la maison il renonce son jogging le gorafi,0
trump says discussed immigration healthcare and jobs in senate meeting,1
watch what happens after hillary clinton sends her book to the ben carson campaign,0
fifty chinese couples marry in mass ceremony in sri lanka,1
bulgarian court sentences three syrians on terrorism charges,1
israeli minister says trump speech may start war with iran,1
trump national security adviser seriously violated federal law should be banned from office,0
is someone afraid of trumps rising star man who made controversial comment to trump during town hall was likely a plant,0
north korea warns of more gift packages for united states,1
sheriff joe arpaio sinks to a new low with his classless response to princes death,0
awesome conservative women speak up about what they like in a politician,0
we want it in writing scotland and wales seek clarity on postbrexit powers,1
trump says he would push universities to reduce tuition,1
factbox whats in the republican tax cut plan trump is promoting,1
factbox latest obamacare repeal bill would block grant money to states gut medicaid,1
drug enforcement chief criticizes trump in email to agents,1
brexit would hurt britain eu and global economy white house adviser in newspaper,1
why john mccain will never vote to repeal and replace obamacare,0
republican stuns cnn host wants to starve americans to pay for trumps border wall,0
whoa black woman fed up with black racists nails it many black people voted for barack obama simply because he was blackand now your black god has failed you,0
america is under israeli occupation by dahlia wasfi,0
kenyas odinga pulled out of election to avoid defeat deputy president,1
senator gillibrand pulled strings so muslim athlete who molested year old girl could come to us after his visa was denied,0
parents fearing deportation pick guardians for us children,1
pelosi giggles nervously after i met president trump i prayed for america,0
no chateau catalan leaders modest belgian exile,1
trumps pick for treasury tried to take a yearold womans house over cent bill,0
obama says world must unite to defeat terrorism,1
busted trump supporters get caught creating fake badges to intimidate voters at polling places,0
elizabeth warren freaks after trump refers to her as pocahontas during wh ceremony with native american code talkersforgets bill maher just called her pocahontas during appearance on his show,0
dartmouth blacklivesmatter terrorists tear down memorial to slain police officers becausewhite supremacy,0
hustler owner is so fed up with trump that he is offering mill for dirt to get him impeached,0
fly over shows may gulf oil spill far worse than reported,0
donald trump nominates the only black guy he knows to oversee inner city housing,0
abdullah welcomes trump engagement in israelpalestinian peace,1
episode sunday wire fake news week in review,0
trump touts tax reform overlooks white house aide cohn,1
us commerce chief warns against china semiconductor investment binge,1
dummyinchief requests fewer words and more pictures be used in intelligence briefings,0
veterans shred trump for exploiting navy seals death while press fawns all over him for it,0
un pushing sharp increase in migrant returns from libya,1
american woman in bikini desecrates french catacombs for her female indiana jones brand,1
republican debate line of the night keep swinging men swing for the fences,0
pamela gellars free speech event helps root out another offthecharts dangerous american muslim terrorist with big plans,0
not paying taxes doesnt make trump smart it makes him a shamelessly unamerican freeloader,0
